Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Bất động sản L2,195724268222.0,-3122632500.0,-49400015000.0,-143201620720.0,21955700000.0,-8000000000.0,0.0,-13955700000.0,217679968222.0,-11122632500.0,-49400015000.0,-157157320720.0
Thực phẩm và đồ uống L2,107603900951.0,-33727876500.0,-25362175000.0,-48513849450.0,-25753000000.0,31900000000.0,0.0,-6147000000.0,81850900951.0,-1827876500.0,-25362175000.0,-54660849450.0
Hóa chất L2,45602525361.0,879771000.0,2405057000.0,-48887353360.0,0.0,263534738000.0,-263534738000.0,0.0,45602525361.0,264414509000.0,-261129681000.0,-48887353360.0
Công nghệ Thông tin L2,28186577001.0,6881905000.0,-37798346000.0,2729864000.0,0.0,0.0,0.0,0.0,28186577001.0,6881905000.0,-37798346000.0,2729864000.0
"Điện, nước & xăng dầu khí đốt L2",27365497000.0,476694000.0,-4385850000.0,-23456341000.0,0.0,0.0,0.0,0.0,27365497000.0,476694000.0,-4385850000.0,-23456341000.0
Du lịch và Giải trí L2,12580689601.0,30165000.0,-5872880000.0,-6737974600.0,0.0,0.0,0.0,0.0,12580689601.0,30165000.0,-5872880000.0,-6737974600.0
Bảo hiểm L2,4838048201.0,-7187645000.0,-417860000.0,2767456800.0,0.0,0.0,0.0,0.0,4838048201.0,-7187645000.0,-417860000.0,2767456800.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y tế L2,-1565960750.0,351160000.0,0.0,1214800750.0,0.0,0.0,0.0,0.0,-1565960750.0,351160000.0,0.0,1214800750.0
Truyền thông L2,-2162105000.0,330130000.0,0.0,1831975000.0,0.0,0.0,0.0,0.0,-2162105000.0,330130000.0,0.0,1831975000.0
Ô tô và phụ tùng L2,-3301636001.0,790000.0,2182090000.0,1118756000.0,0.0,0.0,0.0,0.0,-3301636001.0,790000.0,2182090000.0,1118756000.0
Hàng & Dịch vụ Công nghiệp L2,-14549734998.0,1044946000.0,2365090000.0,11139699000.0,0.0,0.0,0.0,0.0,-14549734998.0,1044946000.0,2365090000.0,11139699000.0
Ngân hàng L2,-18519059801.0,77458975000.0,-171987345000.0,113047429800.0,161825055800.0,-161824983800.0,1768000.0,-1840000.0,143305995999.0,-84366008800.0,-171985577000.0,113045589800.0
Hàng cá nhân & Gia dụng L2,-37216248200.0,6600429000.0,27769100000.0,2846719200.0,10010800000.0,-10010800000.0,0.0,0.0,-27205448200.0,-3410371000.0,27769100000.0,2846719200.0
Dầu khí L2,-44117760000.0,9784840000.0,23299965000.0,11032955000.0,0.0,0.0,0.0,0.0,-44117760000.0,9784840000.0,23299965000.0,11032955000.0
Xây dựng và Vật liệu L2,-55547763300.0,13026633300.0,584580000.0,41936550000.0,-64800000000.0,64800000000.0,0.0,0.0,-120347763300.0,77826633300.0,584580000.0,41936550000.0
Tài nguyên Cơ bản L2,-76659722199.0,8659872000.0,-24336480000.0,92336330200.0,-4189500000.0,4189500000.0,0.0,0.0,-80849222199.0,12849372000.0,-24336480000.0,92336330200.0
Dịch vụ tài chính L2,-100438314701.0,-21856073000.0,101684681000.0,20609706700.0,-24664737600.0,29728949600.0,13574988000.0,-18639200000.0,-125103052301.0,7872876600.0,115259669000.0,1970506700.0
Bán lẻ L2,-107904198649.0,-11319853000.0,-28506925000.0,147730976650.0,0.0,0.0,0.0,0.0,-107904198650.0,-11319853000.0,-28506925000.0,147730976650.0
,,,,,,,,,,,,
