Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Bất động sản L2,205919643152.0,-31383346000.0,-17458304000.0,-157077993151.0,-61036444800.0,61036444800.0,0.0,0.0,144883198352.0,29653098800.0,-17458304000.0,-157077993151.0
Tài nguyên Cơ bản L2,128971514350.0,-142887469550.0,2669615000.0,11246340200.0,0.0,0.0,0.0,0.0,128971514350.0,-142887469550.0,2669615000.0,11246340200.0
Hóa chất L2,105543742001.0,-29774872000.0,5944493000.0,-81713363000.0,0.0,0.0,0.0,0.0,105543742001.0,-29774872000.0,5944493000.0,-81713363000.0
Thực phẩm và đồ uống L2,88836623501.0,-3190116000.0,-16911345000.0,-68735162500.0,-72174500000.0,72174500000.0,0.0,0.0,16662123501.0,68984384000.0,-16911345000.0,-68735162500.0
Dịch vụ tài chính L2,85554710502.0,-151162934000.0,143929539000.0,-78321315500.0,0.0,-74533200000.0,74533200000.0,0.0,85554710502.0,-225696134000.0,218462739000.0,-78321315500.0
Xây dựng và Vật liệu L2,41098410600.0,-27202095000.0,1742390000.0,-15638705600.0,-1710800000.0,1710800000.0,0.0,0.0,39387610600.0,-25491295000.0,1742390000.0,-15638705600.0
Hàng & Dịch vụ Công nghiệp L2,33982358000.0,-7310035000.0,-29563195000.0,2890872000.0,0.0,0.0,0.0,0.0,33982358000.0,-7310035000.0,-29563195000.0,2890872000.0
"Điện, nước & xăng dầu khí đốt L2",29434559001.0,-4437240000.0,-1805795000.0,-23191524001.0,0.0,0.0,0.0,0.0,29434559001.0,-4437240000.0,-1805795000.0,-23191524001.0
Bán lẻ L2,23206232450.0,-4950076000.0,-26594145000.0,8337988550.0,-5992000000.0,5992000000.0,0.0,0.0,17214232450.0,1041924000.0,-26594145000.0,8337988550.0
Du lịch và Giải trí L2,18299159500.0,-3969770000.0,-7057150000.0,-7272239500.0,0.0,0.0,0.0,0.0,18299159500.0,-3969770000.0,-7057150000.0,-7272239500.0
Công nghệ Thông tin L2,13657649801.0,-6403945000.0,-7241473000.0,-12231800.0,253440.0,-253440.0,0.0,0.0,13657903242.0,-6404198440.0,-7241473000.0,-12231800.0
Ngân hàng L2,8550369800.0,-34914648600.0,-175559535000.0,201923813801.0,1307600000.0,-1307600000.0,0.0,0.0,9857969800.0,-36222248600.0,-175559535000.0,201923813801.0
Ô tô và phụ tùng L2,8488191500.0,-1670615000.0,0.0,-6817576500.0,0.0,0.0,0.0,0.0,8488191500.0,-1670615000.0,0.0,-6817576500.0
Hàng cá nhân & Gia dụng L2,7359823999.0,4305977000.0,-15031850000.0,3366049000.0,-7290000000.0,7290000000.0,0.0,0.0,69823999.0,11595977000.0,-15031850000.0,3366049000.0
Bảo hiểm L2,2283035001.0,-1928120000.0,-587875000.0,232960000.0,0.0,0.0,0.0,0.0,2283035001.0,-1928120000.0,-587875000.0,232960000.0
Dầu khí L2,1525721000.0,3207020000.0,-198925000.0,-4533816000.0,0.0,0.0,0.0,0.0,1525721000.0,3207020000.0,-198925000.0,-4533816000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-165454999.0,137560000.0,0.0,27895000.0,0.0,0.0,0.0,0.0,-165454999.0,137560000.0,0.0,27895000.0
Y tế L2,-166344199.0,1648676200.0,156400000.0,-1638732000.0,0.0,0.0,0.0,0.0,-166344199.0,1648676200.0,156400000.0,-1638732000.0
,,,,,,,,,,,,
