Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hóa chất L2,77121244999.0,-5863683000.0,14915000.0,-71272477000.0,0.0,0.0,0.0,0.0,77121244999.0,-5863683000.0,14915000.0,-71272477000.0
Bán lẻ L2,22907021001.0,-2038081000.0,-8338690000.0,-12530250000.0,0.0,0.0,0.0,0.0,22907021001.0,-2038081000.0,-8338690000.0,-12530250000.0
Xây dựng và Vật liệu L2,3292042350.0,7463442000.0,0.0,-10755484350.0,15726500000.0,-15726500000.0,0.0,0.0,19018542350.0,-8263058000.0,0.0,-10755484350.0
Ô tô và phụ tùng L2,562531000.0,33530000.0,0.0,-596061000.0,0.0,0.0,0.0,0.0,562531000.0,33530000.0,0.0,-596061000.0
Truyền thông L2,8898000.0,-19713000.0,0.0,10815000.0,0.0,0.0,0.0,0.0,8898000.0,-19713000.0,0.0,10815000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y tế L2,-1311509300.0,-375567000.0,0.0,1687076300.0,0.0,0.0,0.0,0.0,-1311509300.0,-375567000.0,0.0,1687076300.0
Hàng cá nhân & Gia dụng L2,-1814705400.0,-2967406400.0,2320250000.0,2461861800.0,0.0,0.0,0.0,0.0,-1814705400.0,-2967406400.0,2320250000.0,2461861800.0
Bảo hiểm L2,-7696245401.0,769885000.0,-697100000.0,7623460400.0,0.0,0.0,0.0,0.0,-7696245400.0,769885000.0,-697100000.0,7623460400.0
Du lịch và Giải trí L2,-16225702200.0,1211202000.0,536700000.0,14477800200.0,0.0,0.0,0.0,0.0,-16225702200.0,1211202000.0,536700000.0,14477800200.0
"Điện, nước & xăng dầu khí đốt L2",-16227581000.0,-3448655000.0,-332025000.0,20008261000.0,0.0,0.0,0.0,0.0,-16227581000.0,-3448655000.0,-332025000.0,20008261000.0
Dầu khí L2,-21706760000.0,7668040000.0,13010000.0,14025710000.0,-2640000.0,0.0,0.0,2640000.0,-21709400000.0,7668040000.0,13010000.0,14028350000.0
Thực phẩm và đồ uống L2,-28441341000.0,-22965328000.0,-2368940000.0,53775609000.0,-950000.0,0.0,0.0,950000.0,-28442291000.0,-22965328000.0,-2368940000.0,53776559000.0
Hàng & Dịch vụ Công nghiệp L2,-32133420397.0,10206923000.0,12798435000.0,9128062400.0,0.0,0.0,0.0,0.0,-32133420399.0,10206923000.0,12798435000.0,9128062400.0
Công nghệ Thông tin L2,-32422990550.0,31157427000.0,-247419000.0,1512982550.0,0.0,0.0,0.0,0.0,-32422990550.0,31157427000.0,-247419000.0,1512982550.0
Dịch vụ tài chính L2,-57413142301.0,-9000998000.0,-5240528000.0,71654668300.0,0.0,53756200000.0,-52276600000.0,-1479600000.0,-57413142301.0,44755202000.0,-57517128000.0,70175068300.0
Bất động sản L2,-85330487970.0,-25449845000.0,3994320000.0,106786012969.0,45500000000.0,-45500000000.0,0.0,0.0,-39830487970.0,-70949845000.0,3994320000.0,106786012969.0
Tài nguyên Cơ bản L2,-100401779801.0,34778935000.0,12023845000.0,53598999800.0,19600000.0,-19600000.0,0.0,0.0,-100382179801.0,34759335000.0,12023845000.0,53598999800.0
Ngân hàng L2,-130981772200.0,127088584250.0,23811430000.0,-19918242050.0,37597500000.0,-941700000.0,-37597500000.0,941700000.0,-93384272200.0,126146884250.0,-13786070000.0,-18976542050.0
,,,,,,,,,,,,
