Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Ngân hàng L2,201610584750.0,-68598245500.0,-37288065000.0,-95724274250.0,601580.0,568420.0,-1170000.0,0.0,201611186330.0,-68597677080.0,-37289235000.0,-95724274250.0
Dịch vụ tài chính L2,139309758430.0,-75112809800.0,-4071354000.0,-60125594630.0,360990.0,922623010.0,-922984000.0,0.0,139310119419.0,-74190186790.0,-4994338000.0,-60125594630.0
Tài nguyên Cơ bản L2,33119189400.0,21369502000.0,-16116095000.0,-38372596400.0,0.0,871000.0,-871000.0,0.0,33119189400.0,21370373000.0,-16116966000.0,-38372596400.0
Thực phẩm và đồ uống L2,33117423500.0,-2469148000.0,-1029730000.0,-29618545500.0,-31750000000.0,0.0,31750000000.0,0.0,1367423500.0,-2469148000.0,30720270000.0,-29618545500.0
Hàng & Dịch vụ Công nghiệp L2,12915909199.0,2855416800.0,-811200000.0,-14960126000.0,0.0,0.0,0.0,0.0,12915909199.0,2855416800.0,-811200000.0,-14960126000.0
Ô tô và phụ tùng L2,5854521000.0,-650932000.0,0.0,-5203589000.0,0.0,0.0,0.0,0.0,5854521000.0,-650932000.0,0.0,-5203589000.0
Du lịch và Giải trí L2,3189198600.0,10451655000.0,-1834710000.0,-11806143600.0,0.0,0.0,0.0,0.0,3189198600.0,10451655000.0,-1834710000.0,-11806143600.0
Dầu khí L2,2867482151.0,-207060000.0,290040000.0,-2950462150.0,0.0,0.0,0.0,0.0,2867482151.0,-207060000.0,290040000.0,-2950462150.0
"Điện, nước & xăng dầu khí đốt L2",2288412250.0,8285873000.0,951750000.0,-11526035249.0,0.0,44000.0,-44000.0,0.0,2288412250.0,8285917000.0,951706000.0,-11526035249.0
Y tế L2,1627469999.0,-2097990000.0,-2988445000.0,3458965000.0,0.0,0.0,0.0,0.0,1627469999.0,-2097990000.0,-2988445000.0,3458965000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hàng cá nhân & Gia dụng L2,-4641117000.0,11639599000.0,1013200000.0,-8011682000.0,177000.0,0.0,-177000.0,0.0,-4640940000.0,11639599000.0,1013023000.0,-8011682000.0
Bảo hiểm L2,-6576019450.0,13019450000.0,-1027850000.0,-5415580550.0,0.0,0.0,0.0,0.0,-6576019450.0,13019450000.0,-1027850000.0,-5415580550.0
Bất động sản L2,-10556538900.0,32788857000.0,3504785000.0,-25737103101.0,-176520000000.0,145200000000.0,31320000000.0,0.0,-187076538900.0,177988857000.0,34824785000.0,-25737103101.0
Truyền thông L2,-11179287599.0,-162762400.0,0.0,11342050000.0,0.0,0.0,0.0,0.0,-11179287599.0,-162762400.0,0.0,11342050000.0
Hóa chất L2,-14344496500.0,-12344080000.0,7145440000.0,19543136500.0,0.0,0.0,0.0,0.0,-14344496500.0,-12344080000.0,7145440000.0,19543136500.0
Xây dựng và Vật liệu L2,-17652873231.0,-3636421000.0,15980375000.0,5308919230.0,-44450000000.0,0.0,44450000000.0,0.0,-62102873231.0,-3636421000.0,60430375000.0,5308919230.0
Bán lẻ L2,-26298522601.0,15868852000.0,-9177350000.0,19607020600.0,283920.0,-145529999920.0,145529716000.0,0.0,-26298238681.0,-129661147920.0,136352366000.0,19607020600.0
Công nghệ Thông tin L2,-27622652530.0,-9338051870.0,10043260000.0,26917444400.0,-7533144801.0,7533559800.0,-415000.0,0.0,-35155797330.0,-1804492070.0,10042845000.0,26917444400.0
,,,,,,,,,,,,
