Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hàng & Dịch vụ Công nghiệp L2,48426583822.0,-22045244820.0,4411000000.0,-30792339000.0,5100000000.0,-5100000000.0,0.0,0.0,53526583822.0,-27145244820.0,4411000000.0,-30792339000.0
Hóa chất L2,44780415500.0,-9100501500.0,11150308000.0,-46830222000.0,0.0,0.0,0.0,0.0,44780415500.0,-9100501500.0,11150308000.0,-46830222000.0
Du lịch và Giải trí L2,9249321401.0,-5439855400.0,-1582830000.0,-2226636000.0,-4740750000.0,4740750000.0,0.0,0.0,4508571401.0,-699105400.0,-1582830000.0,-2226636000.0
Công nghệ Thông tin L2,2024770499.0,-8590254700.0,6116781000.0,448703200.0,0.0,0.0,0.0,0.0,2024770499.0,-8590254700.0,6116781000.0,448703200.0
Ô tô và phụ tùng L2,1733648400.0,-1276400.0,-824203000.0,-908169000.0,0.0,0.0,0.0,0.0,1733648400.0,-1276400.0,-824203000.0,-908169000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-8960000.0,8960000.0,0.0,0.0,0.0,0.0,0.0,0.0,-8960000.0,8960000.0,0.0,0.0
Hàng cá nhân & Gia dụng L2,-1451973250.0,-1644292500.0,5845923000.0,-2749657250.0,0.0,0.0,0.0,0.0,-1451973250.0,-1644292500.0,5845923000.0,-2749657250.0
Xây dựng và Vật liệu L2,-2255919699.0,7055071100.0,294036000.0,-5093187400.0,0.0,-1240000000.0,1240000000.0,0.0,-2255919699.0,5815071100.0,1534036000.0,-5093187400.0
Y tế L2,-4257827301.0,-551759500.0,15537000.0,4794049800.0,0.0,0.0,0.0,0.0,-4257827301.0,-551759500.0,15537000.0,4794049800.0
Bán lẻ L2,-5201017000.0,-1798442000.0,5485055000.0,1514404000.0,0.0,0.0,0.0,0.0,-5201017000.0,-1798442000.0,5485055000.0,1514404000.0
Bảo hiểm L2,-12159989301.0,-1440865100.0,36138000.0,13564716400.0,0.0,0.0,0.0,0.0,-12159989301.0,-1440865100.0,36138000.0,13564716400.0
"Điện, nước & xăng dầu khí đốt L2",-24549517851.0,-8181530950.0,16056320000.0,16674728800.0,0.0,0.0,0.0,0.0,-24549517851.0,-8181530950.0,16056320000.0,16674728800.0
Dầu khí L2,-28179509500.0,23208065000.0,157860000.0,4813584500.0,0.0,0.0,0.0,0.0,-28179509500.0,23208065000.0,157860000.0,4813584500.0
Thực phẩm và đồ uống L2,-28755472901.0,4570432300.0,1658084000.0,22526956600.0,-3336000000.0,3336000000.0,0.0,0.0,-32091472901.0,7906432300.0,1658084000.0,22526956600.0
Bất động sản L2,-32412982902.0,-28098949900.0,-19070363000.0,79582295800.0,46440000000.0,-149640000000.0,103200000000.0,0.0,14027017098.0,-177738949900.0,84129637000.0,79582295800.0
Dịch vụ tài chính L2,-71556425799.0,4818944400.0,-5736119000.0,72473600400.0,-737000000.0,-23339240000.0,-13746260000.0,37822500000.0,-72293425799.0,-18520295600.0,-19482379000.0,110296100400.0
Tài nguyên Cơ bản L2,-89439785601.0,5246359800.0,11777065000.0,72416360800.0,33080657400.0,-33080657400.0,0.0,0.0,-56359128201.0,-27834297600.0,11777065000.0,72416360800.0
Ngân hàng L2,-199974203351.0,77652495650.0,42601297000.0,79720410700.0,1611900000.0,76847720000.0,-110790000000.0,32330380000.0,-198362303350.0,154500215650.0,-68188703000.0,112050790700.0
,,,,,,,,,,,,
