Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Dịch vụ tài chính L2,128064929200.0,-60782262929.0,11024998000.0,-78307664269.0,45525320.0,13470699680.0,-13516225000.0,0.0,128110454520.0,-47311563249.0,-2491227000.0,-78307664269.0
Tài nguyên Cơ bản L2,54477124301.0,3384789000.0,-1181225000.0,-56680688300.0,-10778690500.0,10780000500.0,-1310000.0,0.0,43698433801.0,14164789500.0,-1182535000.0,-56680688300.0
Bán lẻ L2,41086359601.0,-11788915000.0,-7043760000.0,-22253684600.0,7891401760.0,-7890915760.0,-486000.0,0.0,48977761362.0,-19679830760.0,-7044246000.0,-22253684600.0
Hóa chất L2,39055468380.0,-14857441000.0,-18022376000.0,-6175651380.0,0.0,0.0,0.0,0.0,39055468380.0,-14857441000.0,-18022376000.0,-6175651380.0
Bất động sản L2,28325678649.0,38260931000.0,-4096270000.0,-62490339650.0,-283545000000.0,283545000000.0,0.0,0.0,-255219321351.0,321805931000.0,-4096270000.0,-62490339650.0
Thực phẩm và đồ uống L2,26906331951.0,52904189750.0,-7999035000.0,-71811486700.0,0.0,0.0,0.0,0.0,26906331951.0,52904189750.0,-7999035000.0,-71811486701.0
"Điện, nước & xăng dầu khí đốt L2",22578441601.0,-7447014000.0,4220230000.0,-19351657600.0,0.0,11000.0,-11000.0,0.0,22578441601.0,-7447003000.0,4220219000.0,-19351657600.0
Dầu khí L2,20642504550.0,-3308020000.0,-556355000.0,-16778129550.0,0.0,0.0,0.0,0.0,20642504550.0,-3308020000.0,-556355000.0,-16778129550.0
Bảo hiểm L2,4070258550.0,-5456665000.0,-294730000.0,1681136450.0,0.0,0.0,0.0,0.0,4070258550.0,-5456665000.0,-294730000.0,1681136450.0
Ô tô và phụ tùng L2,3179089000.0,-843710000.0,0.0,-2335379000.0,0.0,0.0,0.0,0.0,3179089000.0,-843710000.0,0.0,-2335379000.0
Hàng & Dịch vụ Công nghiệp L2,2268518751.0,-4965966500.0,3081935000.0,-384487249.0,34270000000.0,380000000.0,-34650000000.0,0.0,36538518751.0,-4585966500.0,-31568065000.0,-384487249.0
Ngân hàng L2,1434799151.0,-4598282050.0,-60025040000.0,63188522901.0,61001624249.0,1401406750.0,-62403031000.0,0.0,62436423400.0,-3196875300.0,-122428071000.0,63188522901.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-2225334500.0,860704500.0,0.0,1364630000.0,0.0,0.0,0.0,0.0,-2225334500.0,860704500.0,0.0,1364630000.0
Du lịch và Giải trí L2,-5712057200.0,4016375000.0,3551930000.0,-1856247800.0,0.0,0.0,0.0,0.0,-5712057200.0,4016375000.0,3551930000.0,-1856247800.0
Y tế L2,-15160414850.0,-280804000.0,0.0,15441218850.0,0.0,0.0,0.0,0.0,-15160414850.0,-280804000.0,0.0,15441218850.0
Hàng cá nhân & Gia dụng L2,-20036405900.0,6458110000.0,4207640000.0,9370655900.0,720800.0,200.0,-721000.0,0.0,-20035685100.0,6458110200.0,4206919000.0,9370655900.0
Công nghệ Thông tin L2,-43722553501.0,-56138241000.0,-4174660000.0,104035454500.0,555599.0,400.0,-556000.0,0.0,-43721997901.0,-56138240600.0,-4175216000.0,104035454500.0
Xây dựng và Vật liệu L2,-86243330500.0,10473844300.0,24408300000.0,51361186200.0,0.0,0.0,0.0,0.0,-86243330500.0,10473844300.0,24408300000.0,51361186200.0
,,,,,,,,,,,,
