Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Thực phẩm và đồ uống L2,120281182950.0,-39366453000.0,17328410000.0,-98243139950.0,0.0,0.0,0.0,0.0,120281182950.0,-39366453000.0,17328410000.0,-98243139950.0
Bất động sản L2,74335802951.0,-49262827500.0,22085465000.0,-47158440450.0,0.0,0.0,0.0,0.0,74335802951.0,-49262827500.0,22085465000.0,-47158440450.0
Hàng & Dịch vụ Công nghiệp L2,12514915100.0,-8477405000.0,893850000.0,-4931360100.0,0.0,0.0,0.0,0.0,12514915100.0,-8477405000.0,893850000.0,-4931360100.0
Hàng cá nhân & Gia dụng L2,9058430999.0,-6604221000.0,-1237130000.0,-1217080000.0,0.0,0.0,0.0,0.0,9058430999.0,-6604221000.0,-1237130000.0,-1217080000.0
Bảo hiểm L2,547347600.0,-1558525000.0,24770000.0,986407400.0,0.0,0.0,0.0,0.0,547347600.0,-1558525000.0,24770000.0,986407400.0
Xây dựng và Vật liệu L2,380697400.0,-20747778800.0,19590115000.0,776966400.0,0.0,0.0,0.0,0.0,380697400.0,-20747778800.0,19590115000.0,776966400.0
Du lịch và Giải trí L2,35509101.0,-191317000.0,4614080000.0,-4458272100.0,0.0,0.0,0.0,0.0,35509101.0,-191317000.0,4614080000.0,-4458272100.0
Truyền thông L2,32558090.0,-21800000.0,0.0,-10758090.0,0.0,0.0,0.0,0.0,32558090.0,-21800000.0,0.0,-10758090.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y tế L2,-987495600.0,372425600.0,0.0,615070000.0,0.0,0.0,0.0,0.0,-987495600.0,372425600.0,0.0,615070000.0
"Điện, nước & xăng dầu khí đốt L2",-2210026201.0,7766094000.0,1633750000.0,-7189817800.0,0.0,0.0,0.0,0.0,-2210026201.0,7766094000.0,1633750000.0,-7189817800.0
Ô tô và phụ tùng L2,-4441445000.0,-3016537000.0,0.0,7457982000.0,0.0,0.0,0.0,0.0,-4441445000.0,-3016537000.0,0.0,7457982000.0
Hóa chất L2,-15618034000.0,11055635000.0,1709650000.0,2852749000.0,-20820000000.0,20820000000.0,0.0,0.0,-36438034000.0,31875635000.0,1709650000.0,2852749000.0
Dịch vụ tài chính L2,-28862764360.0,-27137269000.0,59861241000.0,-3861207640.0,0.0,5349000000.0,-17077800000.0,11728800000.0,-28862764360.0,-21788269000.0,42783441000.0,7867592360.0
Dầu khí L2,-39969669850.0,20270005000.0,-82200000.0,19781864850.0,0.0,0.0,0.0,0.0,-39969669850.0,20270005000.0,-82200000.0,19781864850.0
Tài nguyên Cơ bản L2,-55792998570.0,3633745000.0,29516840000.0,22642413570.0,0.0,0.0,0.0,0.0,-55792998570.0,3633745000.0,29516840000.0,22642413570.0
Công nghệ Thông tin L2,-59183703400.0,36851144900.0,19570850000.0,2761708500.0,7200000000.0,0.0,-7200000000.0,0.0,-51983703400.0,36851144900.0,12370850000.0,2761708500.0
Bán lẻ L2,-83864117000.0,8929849000.0,3274015000.0,71660253000.0,41900000000.0,0.0,0.0,-41900000000.0,-41964117000.0,8929849000.0,3274015000.0,29760253000.0
Ngân hàng L2,-339244644551.0,154399758100.0,62201735000.0,122643151450.0,-2815265400.0,15715320400.0,-12900055000.0,0.0,-342059909951.0,170115078500.0,49301680000.0,122643151450.0
,,,,,,,,,,,,
