Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Thực phẩm và đồ uống L2,183253262300.0,-17458991200.0,-39295165000.0,-126499106100.0,13943000000.0,-13943000000.0,0.0,0.0,197196262299.0,-31401991200.0,-39295165000.0,-126499106100.0
Bất động sản L2,147570520741.0,-15310088000.0,-66438455000.0,-65821977740.0,60273000000.0,38089950000.0,0.0,-98362950000.0,207843520741.0,22779862000.0,-66438455000.0,-164184927740.0
Ngân hàng L2,130995106152.0,65113758750.0,-495541165000.0,299432300100.0,6185000000.0,-269729632000.0,263544632000.0,0.0,137180106152.0,-204615873250.0,-231996533000.0,299432300100.0
Công nghệ Thông tin L2,55266690799.0,-7647225000.0,-51513185000.0,3893719200.0,-10925000000.0,10925000000.0,0.0,0.0,44341690799.0,3277775000.0,-51513185000.0,3893719200.0
Tài nguyên Cơ bản L2,49436359249.0,-33968587100.0,658198000.0,-16125970150.0,-4812500000.0,4812500000.0,0.0,0.0,44623859249.0,-29156087100.0,658198000.0,-16125970150.0
Hàng & Dịch vụ Công nghiệp L2,35988860450.0,-17200170000.0,-12155485000.0,-6633205450.0,0.0,0.0,0.0,0.0,35988860450.0,-17200170000.0,-12155485000.0,-6633205450.0
"Điện, nước & xăng dầu khí đốt L2",29665921199.0,-4349440800.0,-5025289000.0,-20291191400.0,0.0,0.0,0.0,0.0,29665921199.0,-4349440800.0,-5025289000.0,-20291191400.0
Hàng cá nhân & Gia dụng L2,27650484251.0,-10703430000.0,-15908680000.0,-1038374250.0,7270000000.0,-7270000000.0,0.0,0.0,34920484251.0,-17973430000.0,-15908680000.0,-1038374250.0
Du lịch và Giải trí L2,15409883000.0,288567000.0,-12031520000.0,-3666930000.0,0.0,0.0,0.0,0.0,15409883000.0,288567000.0,-12031520000.0,-3666930000.0
Xây dựng và Vật liệu L2,13456517800.0,-4444255100.0,813920000.0,-9826182700.0,0.0,0.0,0.0,0.0,13456517800.0,-4444255100.0,813920000.0,-9826182700.0
Dầu khí L2,12483360000.0,8631440000.0,-6028200000.0,-15086600000.0,0.0,0.0,0.0,0.0,12483360000.0,8631440000.0,-6028200000.0,-15086600000.0
Hóa chất L2,7751709000.0,23203205000.0,5396317000.0,-36351231000.0,0.0,0.0,0.0,0.0,7751709000.0,23203205000.0,5396317000.0,-36351231000.0
Bảo hiểm L2,2556471851.0,-2563970000.0,-490445000.0,497943150.0,0.0,0.0,0.0,0.0,2556471851.0,-2563970000.0,-490445000.0,497943150.0
Ô tô và phụ tùng L2,1793368000.0,-3462783000.0,185450000.0,1483965000.0,0.0,0.0,0.0,0.0,1793368000.0,-3462783000.0,185450000.0,1483965000.0
Truyền thông L2,781715000.0,16350000.0,0.0,-798065000.0,0.0,0.0,0.0,0.0,781715000.0,16350000.0,0.0,-798065000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bán lẻ L2,-872770900.0,6535331000.0,-44558620000.0,38896059900.0,5956020000.0,-5956020000.0,0.0,0.0,5083249100.0,579311000.0,-44558620000.0,38896059900.0
Y tế L2,-1349227001.0,736445000.0,0.0,612782000.0,0.0,0.0,0.0,0.0,-1349227001.0,736445000.0,0.0,612782000.0
Dịch vụ tài chính L2,-26894100701.0,-16340926450.0,-10625100000.0,53860127150.0,-19419568450.0,23295600450.0,-23295632000.0,19419600000.0,-46313669151.0,6954674000.0,-33920732000.0,73279727150.0
,,,,,,,,,,,,
