Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hàng & Dịch vụ Công nghiệp L2,38956493999.0,-37812434000.0,4412825000.0,-5556885000.0,0.0,0.0,0.0,0.0,38956493999.0,-37812434000.0,4412825000.0,-5556885000.0
Hóa chất L2,11384567001.0,10928439000.0,-558325000.0,-21754681000.0,0.0,0.0,0.0,0.0,11384567001.0,10928439000.0,-558325000.0,-21754681000.0
Ô tô và phụ tùng L2,577945000.0,24275000.0,0.0,-602220000.0,0.0,0.0,0.0,0.0,577945000.0,24275000.0,0.0,-602220000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-447000.0,-4995000.0,0.0,5442000.0,0.0,0.0,0.0,0.0,-447000.0,-4995000.0,0.0,5442000.0
Y tế L2,-3391084000.0,-466878000.0,69570000.0,3788392000.0,0.0,0.0,0.0,0.0,-3391084000.0,-466878000.0,69570000.0,3788392000.0
Bảo hiểm L2,-5275325000.0,1391800000.0,524155000.0,3359370000.0,0.0,0.0,0.0,0.0,-5275325000.0,1391800000.0,524155000.0,3359370000.0
Hàng cá nhân & Gia dụng L2,-6947618450.0,1215158850.0,6719250000.0,-986790400.0,0.0,0.0,0.0,0.0,-6947618450.0,1215158850.0,6719250000.0,-986790400.0
Du lịch và Giải trí L2,-9122728001.0,1454965000.0,8225520000.0,-557757000.0,0.0,0.0,0.0,0.0,-9122728001.0,1454965000.0,8225520000.0,-557757000.0
Bán lẻ L2,-17448740901.0,1776145000.0,12078975000.0,3593620900.0,0.0,0.0,0.0,0.0,-17448740901.0,1776145000.0,12078975000.0,3593620900.0
Xây dựng và Vật liệu L2,-26568266100.0,20694835900.0,7480092000.0,-1606661800.0,0.0,0.0,0.0,0.0,-26568266100.0,20694835900.0,7480092000.0,-1606661800.0
Dầu khí L2,-34962988000.0,14816120000.0,-3316650000.0,23463518000.0,0.0,0.0,0.0,0.0,-34962988000.0,14816120000.0,-3316650000.0,23463518000.0
Công nghệ Thông tin L2,-35813515001.0,20311193000.0,15426000000.0,76322000.0,-20735000000.0,20735000000.0,0.0,0.0,-56548515001.0,41046193000.0,15426000000.0,76322000.0
"Điện, nước & xăng dầu khí đốt L2",-47396197100.0,6539655000.0,11422380000.0,29434162100.0,0.0,0.0,0.0,0.0,-47396197100.0,6539655000.0,11422380000.0,29434162100.0
Dịch vụ tài chính L2,-114448369000.0,6704681760.0,-23963413000.0,131707100240.0,0.0,32629400000.0,-31129700000.0,-1499700000.0,-114448369000.0,39334081760.0,-55093113000.0,130207400241.0
Thực phẩm và đồ uống L2,-147689482201.0,-18888515200.0,32947325000.0,133630672400.0,116715600000.0,0.0,-116715600000.0,0.0,-30973882201.0,-18888515200.0,-83768275000.0,133630672400.0
Tài nguyên Cơ bản L2,-164019910250.0,24685962950.0,12492125000.0,126841822300.0,40790000000.0,-40790000000.0,0.0,0.0,-123229910250.0,-16104037050.0,12492125000.0,126841822300.0
Bất động sản L2,-209987083971.0,-21498013000.0,32113641000.0,199371455970.0,9701370000.0,-9701370000.0,0.0,0.0,-200285713971.0,-31199383000.0,32113641000.0,199371455970.0
Ngân hàng L2,-314178430003.0,139765718450.0,122338385000.0,52074326550.0,-11137500000.0,11137500000.0,0.0,0.0,-325315930003.0,150903218450.0,122338385000.0,52074326550.0
,,,,,,,,,,,,
