Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Công nghệ Thông tin L2,203212966101.0,-20903318100.0,49465480000.0,-231775128000.0,0.0,279000.0,-279000.0,0.0,203212966100.0,-20903039100.0,49465201000.0,-231775128000.0
Dịch vụ tài chính L2,111252232572.0,-85676886318.0,4874270000.0,-30449616250.0,-73799977150.0,15839546150.0,57960431000.0,0.0,37452255421.0,-69837340168.0,62834701000.0,-30449616250.0
Hàng & Dịch vụ Công nghiệp L2,68916948249.0,-2743800650.0,4559410000.0,-70732557600.0,0.0,0.0,0.0,0.0,68916948249.0,-2743800650.0,4559410000.0,-70732557600.0
Dầu khí L2,29895015000.0,2446725000.0,221770000.0,-32563510000.0,0.0,0.0,0.0,0.0,29895015000.0,2446725000.0,221770000.0,-32563510000.0
Tài nguyên Cơ bản L2,24749095101.0,3288893000.0,12739878000.0,-40777866100.0,0.0,825000.0,-825000.0,0.0,24749095101.0,3289718000.0,12739053000.0,-40777866100.0
"Điện, nước & xăng dầu khí đốt L2",18933309202.0,-18594667000.0,4476860000.0,-4815502199.0,0.0,11000.0,-11000.0,0.0,18933309202.0,-18594656000.0,4476849000.0,-4815502199.0
Hóa chất L2,15477677452.0,-10833899700.0,-808065000.0,-3835712750.0,0.0,0.0,0.0,0.0,15477677452.0,-10833899700.0,-808065000.0,-3835712750.0
Bán lẻ L2,11198723050.0,-932748000.0,32369280000.0,-42635255050.0,-4920000000.0,4920434000.0,-434000.0,0.0,6278723050.0,3987686000.0,32368846000.0,-42635255050.0
Ô tô và phụ tùng L2,1404236599.0,-129065000.0,0.0,-1275171600.0,0.0,0.0,0.0,0.0,1404236599.0,-129065000.0,0.0,-1275171600.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bảo hiểm L2,-387159450.0,6981910000.0,-142230000.0,-6452520550.0,2300000000.0,0.0,0.0,-2300000000.0,1912840550.0,6981910000.0,-142230000.0,-8752520550.0
Du lịch và Giải trí L2,-1475259200.0,-620270000.0,6700620000.0,-4605090800.0,-712500000.0,0.0,0.0,712500000.0,-2187759200.0,-620270000.0,6700620000.0,-3892590800.0
Y tế L2,-4266464599.0,-158519800.0,0.0,4424984400.0,0.0,0.0,0.0,0.0,-4266464599.0,-158519800.0,0.0,4424984400.0
Thực phẩm và đồ uống L2,-4443549749.0,-3823855350.0,24927570000.0,-16660164900.0,0.0,0.0,0.0,0.0,-4443549749.0,-3823855350.0,24927570000.0,-16660164900.0
Hàng cá nhân & Gia dụng L2,-10628160860.0,11935780000.0,-623900000.0,-683719140.0,88000.0,0.0,-88000.0,0.0,-10628072860.0,11935780000.0,-623988000.0,-683719140.0
Truyền thông L2,-13516311500.0,1278870000.0,0.0,12237441500.0,0.0,0.0,0.0,0.0,-13516311500.0,1278870000.0,0.0,12237441500.0
Bất động sản L2,-24861764288.0,18282859000.0,31742873000.0,-25163967710.0,-717000000000.0,717000000000.0,0.0,0.0,-741861764288.0,735282859000.0,31742873000.0,-25163967710.0
Xây dựng và Vật liệu L2,-34686916900.0,16647905000.0,18887650000.0,-848638100.0,0.0,0.0,0.0,0.0,-34686916900.0,16647905000.0,18887650000.0,-848638100.0
Ngân hàng L2,-113123728946.0,-162596085000.0,215369340000.0,60350473951.0,2667849.0,13634715150.0,-6819753000.0,-6817630000.0,-113121061096.0,-148961369850.0,208549587000.0,53532843951.0
,,,,,,,,,,,,
