Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Thực phẩm và đồ uống L2,91451875301.0,-20354551000.0,5069890000.0,-76167214300.0,0.0,0.0,0.0,0.0,91451875301.0,-20354551000.0,5069890000.0,-76167214300.0
Bất động sản L2,83286666670.0,2257410150.0,12445455000.0,-97989531819.0,-13918000000.0,0.0,7293000000.0,6625000000.0,69368666670.0,2257410150.0,19738455000.0,-91364531819.0
Xây dựng và Vật liệu L2,46944096699.0,-68291669500.0,4874475000.0,16473097800.0,-6000000000.0,6000000000.0,0.0,0.0,40944096699.0,-62291669500.0,4874475000.0,16473097800.0
Hàng & Dịch vụ Công nghiệp L2,34859650698.0,601621000.0,-1821710000.0,-33639561700.0,0.0,0.0,0.0,0.0,34859650698.0,601621000.0,-1821710000.0,-33639561700.0
"Điện, nước & xăng dầu khí đốt L2",11927165599.0,6981435000.0,-674990000.0,-18233610600.0,0.0,0.0,0.0,0.0,11927165599.0,6981435000.0,-674990000.0,-18233610600.0
Bảo hiểm L2,8657875699.0,-9493276200.0,12130000.0,823270500.0,0.0,0.0,0.0,0.0,8657875699.0,-9493276200.0,12130000.0,823270500.0
Công nghệ Thông tin L2,4547257900.0,-5576205500.0,829060000.0,199887600.0,0.0,6840000000.0,-6840000000.0,0.0,4547257900.0,1263794500.0,-6010940000.0,199887600.0
Du lịch và Giải trí L2,2246615000.0,268980000.0,-547200000.0,-1968395000.0,0.0,0.0,0.0,0.0,2246615000.0,268980000.0,-547200000.0,-1968395000.0
Hàng cá nhân & Gia dụng L2,131504800.0,369734000.0,-1210020000.0,708781200.0,-3025000000.0,0.0,0.0,3025000000.0,-2893495200.0,369734000.0,-1210020000.0,3733781200.0
Truyền thông L2,6606600.0,0.0,0.0,-6606600.0,0.0,0.0,0.0,0.0,6606600.0,0.0,0.0,-6606600.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y tế L2,-437400750.0,725680000.0,0.0,-288279250.0,0.0,0.0,0.0,0.0,-437400750.0,725680000.0,0.0,-288279250.0
Ô tô và phụ tùng L2,-459356999.0,343170000.0,0.0,116187000.0,0.0,0.0,0.0,0.0,-459356999.0,343170000.0,0.0,116187000.0
Hóa chất L2,-8249694490.0,10660683000.0,2616035000.0,-5027023510.0,0.0,0.0,0.0,0.0,-8249694490.0,10660683000.0,2616035000.0,-5027023510.0
Dịch vụ tài chính L2,-8502036401.0,5482630000.0,60929086000.0,-57909679600.0,-21600000000.0,0.0,0.0,21600000000.0,-30102036401.0,5482630000.0,60929086000.0,-36309679600.0
Dầu khí L2,-11491915899.0,11517220000.0,2624690000.0,-2649994100.0,0.0,0.0,0.0,0.0,-11491915899.0,11517220000.0,2624690000.0,-2649994100.0
Tài nguyên Cơ bản L2,-41675675251.0,23475089000.0,30310455000.0,-12109868750.0,-5440000000.0,5440000000.0,0.0,0.0,-47115675250.0,28915089000.0,30310455000.0,-12109868750.0
Bán lẻ L2,-117309078300.0,-2932941000.0,-13809870000.0,134051889300.0,-27540000000.0,27540000000.0,0.0,0.0,-144849078300.0,24607059000.0,-13809870000.0,134051889300.0
Ngân hàng L2,-190586363300.0,-30776445950.0,-51251437000.0,272614246249.0,2320776800.0,-367470000.0,-1951700000.0,-1606800.0,-188265586500.0,-31143915950.0,-53203137000.0,272612639449.0
,,,,,,,,,,,,
