Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Công nghệ Thông tin L2,255343067301.0,-15350031000.0,-4487120000.0,-235505916300.0,308525565600.0,400.0,-308525566000.0,0.0,563868632901.0,-15350030600.0,-313012686000.0,-235505916300.0
Ngân hàng L2,237434389303.0,-6359143000.0,-4018085000.0,-227057161300.0,325306842649.0,51527014350.0,-354285417000.0,-22548440000.0,562741231953.0,45167871350.0,-358303502000.0,-249605601300.0
Dịch vụ tài chính L2,138893427393.0,-21150318220.0,-13743354000.0,-103999755170.0,193409107260.0,-2325100260.0,-191084007000.0,0.0,332302534653.0,-23475418480.0,-204827361000.0,-103999755170.0
Bán lẻ L2,135248186098.0,-48421175000.0,-45268660000.0,-41558351100.0,-55699300.0,56180300.0,-481000.0,0.0,135192486798.0,-48364994700.0,-45269141000.0,-41558351100.0
Thực phẩm và đồ uống L2,92243202853.0,-40800210000.0,-5846015000.0,-45596977850.0,0.0,0.0,0.0,0.0,92243202853.0,-40800210000.0,-5846015000.0,-45596977850.0
Hóa chất L2,22961549299.0,-4550737000.0,9866394000.0,-28277206302.0,0.0,0.0,0.0,0.0,22961549299.0,-4550737000.0,9866394000.0,-28277206302.0
Tài nguyên Cơ bản L2,19425461499.0,38305022000.0,-10094164000.0,-47636319500.0,628750.0,250.0,-629000.0,0.0,19426090249.0,38305022250.0,-10094793000.0,-47636319500.0
Du lịch và Giải trí L2,12735640850.0,-369491000.0,-4050590000.0,-8315559850.0,0.0,0.0,0.0,0.0,12735640850.0,-369491000.0,-4050590000.0,-8315559850.0
Ô tô và phụ tùng L2,12436472081.0,-3049050000.0,0.0,-9387422080.0,0.0,0.0,0.0,0.0,12436472081.0,-3049050000.0,0.0,-9387422080.0
"Điện, nước & xăng dầu khí đốt L2",7464525151.0,1997414400.0,4107515000.0,-13569454550.0,0.0,11000.0,-11000.0,0.0,7464525151.0,1997425400.0,4107504000.0,-13569454550.0
Truyền thông L2,3258624400.0,999675600.0,0.0,-4258300000.0,0.0,0.0,0.0,0.0,3258624400.0,999675600.0,0.0,-4258300000.0
Dầu khí L2,1004591001.0,6142265000.0,-215010000.0,-6931846000.0,0.0,0.0,0.0,0.0,1004591001.0,6142265000.0,-215010000.0,-6931846000.0
Hàng & Dịch vụ Công nghiệp L2,539720101.0,-12785147500.0,777130000.0,11468297400.0,65600000000.0,0.0,-65600000000.0,0.0,66139720101.0,-12785147500.0,-64822870000.0,11468297400.0
Bảo hiểm L2,77962400.0,6465655000.0,-39340000.0,-6504277400.0,0.0,0.0,0.0,0.0,77962400.0,6465655000.0,-39340000.0,-6504277400.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y tế L2,-3822364000.0,136485000.0,0.0,3685879000.0,0.0,0.0,0.0,0.0,-3822364000.0,136485000.0,0.0,3685879000.0
Hàng cá nhân & Gia dụng L2,-8624544551.0,2159865500.0,1689020000.0,4775659050.0,182200.0,-200.0,-182000.0,0.0,-8624362351.0,2159865300.0,1688838000.0,4775659050.0
Bất động sản L2,-11627347778.0,26549136000.0,-10794665000.0,-4127123220.0,-174335000000.0,182648280000.0,-4156640000.0,-4156640000.0,-185962347778.0,209197416000.0,-14951305000.0,-8283763220.0
Xây dựng và Vật liệu L2,-79979349550.0,9678893000.0,16257460000.0,54042996550.0,1909600000.0,0.0,-1909600000.0,0.0,-78069749550.0,9678893000.0,14347860000.0,54042996550.0
,,,,,,,,,,,,
