Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Bán lẻ L2,23438777000.0,-16489492000.0,5797770000.0,-12747055000.0,0.0,0.0,0.0,0.0,23438777000.0,-16489492000.0,5797770000.0,-12747055000.0
Hóa chất L2,9369053499.0,-2970163000.0,8608730000.0,-15007620500.0,0.0,0.0,0.0,0.0,9369053499.0,-2970163000.0,8608730000.0,-15007620500.0
"Điện, nước & xăng dầu khí đốt L2",4177883850.0,-5095325000.0,219415000.0,698026150.0,0.0,0.0,0.0,0.0,4177883850.0,-5095325000.0,219415000.0,698026150.0
Công nghệ Thông tin L2,2364714000.0,-10444816000.0,7776470000.0,303632000.0,0.0,0.0,0.0,0.0,2364714000.0,-10444816000.0,7776470000.0,303632000.0
Bảo hiểm L2,724256700.0,-2339370000.0,259985000.0,1355128300.0,0.0,0.0,0.0,0.0,724256700.0,-2339370000.0,259985000.0,1355128300.0
Truyền thông L2,1342000.0,-89422000.0,0.0,88080000.0,0.0,0.0,0.0,0.0,1342000.0,-89422000.0,0.0,88080000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ô tô và phụ tùng L2,-433883000.0,-6082000.0,-172365000.0,612330000.0,0.0,0.0,0.0,0.0,-433883000.0,-6082000.0,-172365000.0,612330000.0
Y tế L2,-2777235001.0,-1278195000.0,8560000.0,4046870000.0,0.0,0.0,0.0,0.0,-2777235001.0,-1278195000.0,8560000.0,4046870000.0
Hàng cá nhân & Gia dụng L2,-5739408999.0,-397296000.0,6623370000.0,-486665000.0,0.0,0.0,0.0,0.0,-5739408999.0,-397296000.0,6623370000.0,-486665000.0
Du lịch và Giải trí L2,-6181280600.0,-2519017000.0,1099590000.0,7600707600.0,0.0,0.0,0.0,0.0,-6181280600.0,-2519017000.0,1099590000.0,7600707600.0
Hàng & Dịch vụ Công nghiệp L2,-10239232599.0,9930980400.0,4980897000.0,-4672644800.0,0.0,0.0,0.0,0.0,-10239232599.0,9930980400.0,4980897000.0,-4672644800.0
Dầu khí L2,-17485640001.0,6009370000.0,-754665000.0,12230935000.0,0.0,0.0,0.0,0.0,-17485640001.0,6009370000.0,-754665000.0,12230935000.0
Xây dựng và Vật liệu L2,-23977786221.0,12811090800.0,-1350633000.0,12517328420.0,0.0,0.0,0.0,0.0,-23977786221.0,12811090800.0,-1350633000.0,12517328420.0
Thực phẩm và đồ uống L2,-70946619902.0,-12067172000.0,6182560000.0,76831231900.0,-17171100000.0,17171100000.0,0.0,0.0,-88117719902.0,5103928000.0,6182560000.0,76831231900.0
Bất động sản L2,-85441423751.0,-9465761000.0,-939395000.0,95846579750.0,140250000000.0,-103850000000.0,-36400000000.0,0.0,54808576250.0,-113315761000.0,-37339395000.0,95846579750.0
Tài nguyên Cơ bản L2,-90053265502.0,-2681293000.0,3687010000.0,89047548500.0,2218210000.0,-3918210000.0,0.0,1700000000.0,-87835055501.0,-6599503000.0,3687010000.0,90747548500.0
Dịch vụ tài chính L2,-104444157200.0,-4971096500.0,-60034148000.0,169449401700.0,0.0,107022800000.0,-145002800000.0,37980000000.0,-104444157200.0,102051703500.0,-205036948000.0,207429401700.0
Ngân hàng L2,-189206057651.0,68824177300.0,60657500000.0,59724380350.0,10209000000.0,9126000000.0,-19335000000.0,0.0,-178997057650.0,77950177300.0,41322500000.0,59724380350.0
,,,,,,,,,,,,
