Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hóa chất L2,51338419000.0,-18147954000.0,149580000.0,-33340045000.0,0.0,0.0,0.0,0.0,51338419000.0,-18147954000.0,149580000.0,-33340045000.0
Hàng & Dịch vụ Công nghiệp L2,12685769098.0,-8226567000.0,5565497000.0,-10024699100.0,0.0,0.0,0.0,0.0,12685769098.0,-8226567000.0,5565497000.0,-10024699100.0
"Điện, nước & xăng dầu khí đốt L2",5077883671.0,-14639382000.0,4080475000.0,5481023330.0,0.0,0.0,0.0,0.0,5077883671.0,-14639382000.0,4080475000.0,5481023330.0
Bán lẻ L2,996869000.0,381031000.0,10552030000.0,-11929930000.0,0.0,0.0,0.0,0.0,996869000.0,381031000.0,10552030000.0,-11929930000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-4021000.0,4021000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4021000.0,4021000.0,0.0,0.0
Y tế L2,-1745711001.0,77219000.0,-26700000.0,1695192000.0,0.0,0.0,0.0,0.0,-1745711001.0,77219000.0,-26700000.0,1695192000.0
Hàng cá nhân & Gia dụng L2,-2337816300.0,-9127561100.0,6854793000.0,4610584400.0,0.0,0.0,0.0,0.0,-2337816300.0,-9127561100.0,6854793000.0,4610584400.0
Ô tô và phụ tùng L2,-3356724560.0,2080000.0,-395250000.0,3749894560.0,0.0,0.0,0.0,0.0,-3356724560.0,2080000.0,-395250000.0,3749894560.0
Xây dựng và Vật liệu L2,-4882663590.0,-9274390360.0,-405000.0,14157458950.0,0.0,0.0,0.0,0.0,-4882663590.0,-9274390360.0,-405000.0,14157458950.0
Bảo hiểm L2,-16702978502.0,-268210000.0,567440000.0,16403748500.0,0.0,0.0,0.0,0.0,-16702978502.0,-268210000.0,567440000.0,16403748500.0
Công nghệ Thông tin L2,-17374767001.0,1171479000.0,16104010000.0,99278000.0,0.0,0.0,0.0,0.0,-17374767001.0,1171479000.0,16104010000.0,99278000.0
Du lịch và Giải trí L2,-17932396400.0,-1331392000.0,6095472000.0,13168316400.0,1737500000.0,-1737500000.0,0.0,0.0,-16194896400.0,-3068892000.0,6095472000.0,13168316400.0
Thực phẩm và đồ uống L2,-19047568340.0,6961063000.0,26557345000.0,-14470839660.0,0.0,0.0,0.0,0.0,-19047568340.0,6961063000.0,26557345000.0,-14470839660.0
Dầu khí L2,-31117444600.0,9904911000.0,165129000.0,21047404600.0,0.0,0.0,0.0,0.0,-31117444600.0,9904911000.0,165129000.0,21047404600.0
Tài nguyên Cơ bản L2,-77688541000.0,27771516000.0,21036309000.0,28880716000.0,0.0,0.0,0.0,0.0,-77688541000.0,27771516000.0,21036309000.0,28880716000.0
Dịch vụ tài chính L2,-85329150630.0,-9047501100.0,-11723235000.0,106099886730.0,47779279240.0,-45978179240.0,-299100000.0,-1502000000.0,-37549871390.0,-55025680340.0,-12022335000.0,104597886730.0
Bất động sản L2,-137565423703.0,6246065100.0,23468513000.0,107850845600.0,0.0,0.0,0.0,0.0,-137565423702.0,6246065100.0,23468513000.0,107850845600.0
Ngân hàng L2,-162876490650.0,89107098350.0,80595413000.0,-6826020700.0,19341000000.0,-19341000000.0,0.0,0.0,-143535490650.0,69766098350.0,80595413000.0,-6826020700.0
,,,,,,,,,,,,
