Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hóa chất L2,119957750591.0,-10974930000.0,-1445135000.0,-107537685590.0,0.0,0.0,0.0,0.0,119957750591.0,-10974930000.0,-1445135000.0,-107537685590.0
Hàng & Dịch vụ Công nghiệp L2,23945019051.0,-42708879000.0,13069040000.0,5694819950.0,0.0,0.0,0.0,0.0,23945019051.0,-42708879000.0,13069040000.0,5694819950.0
Du lịch và Giải trí L2,14835896700.0,-2074005000.0,-1801620000.0,-10960271700.0,0.0,0.0,0.0,0.0,14835896700.0,-2074005000.0,-1801620000.0,-10960271700.0
Xây dựng và Vật liệu L2,11894631300.0,5024540300.0,-598970000.0,-16320201600.0,0.0,1475000000.0,-1475000000.0,0.0,11894631300.0,6499540300.0,-2073970000.0,-16320201600.0
Ô tô và phụ tùng L2,1968420000.0,40985000.0,-269075000.0,-1740330000.0,0.0,0.0,0.0,0.0,1968420000.0,40985000.0,-269075000.0,-1740330000.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-106787000.0,106787000.0,0.0,0.0,0.0,0.0,0.0,0.0,-106787000.0,106787000.0,0.0,0.0
Y tế L2,-791508199.0,-708204000.0,0.0,1499712200.0,0.0,0.0,0.0,0.0,-791508199.0,-708204000.0,0.0,1499712200.0
Hàng cá nhân & Gia dụng L2,-4801111598.0,2158825900.0,5949480000.0,-3307194300.0,0.0,0.0,0.0,0.0,-4801111598.0,2158825900.0,5949480000.0,-3307194300.0
Công nghệ Thông tin L2,-4950239001.0,586774000.0,3704640000.0,658825000.0,-13860720000.0,13860720000.0,0.0,0.0,-18810959001.0,14447494000.0,3704640000.0,658825000.0
Bảo hiểm L2,-5077675000.0,2868840000.0,-857355000.0,3066190000.0,0.0,0.0,0.0,0.0,-5077675000.0,2868840000.0,-857355000.0,3066190000.0
"Điện, nước & xăng dầu khí đốt L2",-9623097099.0,776177000.0,-475435000.0,9322355100.0,0.0,0.0,0.0,0.0,-9623097099.0,776177000.0,-475435000.0,9322355100.0
Bán lẻ L2,-15880905801.0,-933999200.0,12549940000.0,4264965000.0,0.0,0.0,0.0,0.0,-15880905801.0,-933999200.0,12549940000.0,4264965000.0
Tài nguyên Cơ bản L2,-16541442900.0,-6911130000.0,166535000.0,23286037900.0,0.0,0.0,0.0,0.0,-16541442900.0,-6911130000.0,166535000.0,23286037900.0
Dầu khí L2,-35386807800.0,18747345000.0,-226795000.0,16866257800.0,0.0,0.0,0.0,0.0,-35386807800.0,18747345000.0,-226795000.0,16866257800.0
Bất động sản L2,-38886966899.0,-37523941400.0,-19132300000.0,95543208300.0,16648750000.0,-22202500000.0,5553750000.0,0.0,-22238216899.0,-59726441400.0,-13578550000.0,95543208300.0
Thực phẩm và đồ uống L2,-62787989410.0,-1667698000.0,-8701650000.0,73157337410.0,39996000000.0,0.0,-39996000000.0,0.0,-22791989410.0,-1667698000.0,-48697650000.0,73157337410.0
Dịch vụ tài chính L2,-87522899400.0,3187175000.0,-10584767000.0,94920491400.0,0.0,-2828000000.0,-22550400000.0,25378400000.0,-87522899400.0,359175000.0,-33135167000.0,120298891400.0
Ngân hàng L2,-145388723551.0,67232705800.0,25519750000.0,52636267750.0,58995000000.0,-139895000000.0,-17850000000.0,98750000000.0,-86393723551.0,-72662294200.0,7669750000.0,151386267750.0
,,,,,,,,,,,,
