Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Bán lẻ L2,28346217300.0,-19338292700.0,16829440000.0,-25837364600.0,470580.0,420.0,-471000.0,0.0,28346687879.0,-19338292280.0,16828969000.0,-25837364600.0
Tài nguyên Cơ bản L2,19609110150.0,16818009000.0,6715040000.0,-43142159150.0,0.0,817000.0,-817000.0,0.0,19609110150.0,16818826000.0,6714223000.0,-43142159150.0
Truyền thông L2,8937665001.0,-14935000.0,728000000.0,-9650730000.0,0.0,0.0,0.0,0.0,8937665001.0,-14935000.0,728000000.0,-9650730000.0
"Điện, nước & xăng dầu khí đốt L2",8833492100.0,2402486000.0,-2449385000.0,-8786593101.0,0.0,0.0,0.0,0.0,8833492100.0,2402486000.0,-2449385000.0,-8786593101.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hóa chất L2,-1018998799.0,-8241730100.0,16383975000.0,-7123246100.0,0.0,0.0,0.0,0.0,-1018998799.0,-8241730100.0,16383975000.0,-7123246100.0
Y tế L2,-2610366899.0,-1558607000.0,0.0,4168973900.0,0.0,0.0,0.0,0.0,-2610366899.0,-1558607000.0,0.0,4168973900.0
Dịch vụ tài chính L2,-2679741498.0,-36038094152.0,-6821895000.0,45539730650.0,-294260140.0,-4617123860.0,4911384000.0,0.0,-2974001638.0,-40655218012.0,-1910511000.0,45539730650.0
Ô tô và phụ tùng L2,-2891703000.0,2281609000.0,0.0,610094000.0,0.0,0.0,0.0,0.0,-2891703000.0,2281609000.0,0.0,610094000.0
Dầu khí L2,-3891953300.0,7131680000.0,492985000.0,-3732711700.0,0.0,0.0,0.0,0.0,-3891953300.0,7131680000.0,492985000.0,-3732711700.0
Bảo hiểm L2,-11315671150.0,5205375000.0,-1439030000.0,7549326150.0,0.0,0.0,0.0,0.0,-11315671150.0,5205375000.0,-1439030000.0,7549326150.0
Du lịch và Giải trí L2,-17159912100.0,-4552167000.0,13297750000.0,8414329100.0,10000000000.0,0.0,0.0,-10000000000.0,-7159912100.0,-4552167000.0,13297750000.0,-1585670900.0
Thực phẩm và đồ uống L2,-20945265501.0,15250705000.0,36688170000.0,-30993609500.0,0.0,0.0,0.0,0.0,-20945265501.0,15250705000.0,36688170000.0,-30993609500.0
Hàng & Dịch vụ Công nghiệp L2,-23344228497.0,-5506762600.0,-10886070000.0,39737061100.0,112580380000.0,0.0,-112580380000.0,0.0,89236151502.0,-5506762600.0,-123466450000.0,39737061100.0
Hàng cá nhân & Gia dụng L2,-37095480241.0,27793287200.0,1608010000.0,7694183040.0,0.0,180000.0,-180000.0,0.0,-37095480239.0,27793467200.0,1607830000.0,7694183040.0
Bất động sản L2,-43881633742.0,-16283786000.0,68687655000.0,-8522235260.0,-347985000000.0,347073805000.0,3384225000.0,-2473030000.0,-391866633742.0,330790019000.0,72071880000.0,-10995265260.0
Công nghệ Thông tin L2,-48810902101.0,2107498000.0,73069020000.0,-26365615900.0,0.0,554000.0,-554000.0,0.0,-48810902101.0,2108052000.0,73068466000.0,-26365615900.0
Xây dựng và Vật liệu L2,-65806692901.0,32060746000.0,11693280000.0,22052666900.0,0.0,-6767250000.0,6767250000.0,0.0,-65806692901.0,25293496000.0,18460530000.0,22052666900.0
Ngân hàng L2,-260786999500.0,-60421562500.0,169742590000.0,151465972000.0,-3742703030.0,8518315430.0,-7301917000.0,2526304600.0,-264529702530.0,-51903247070.0,162440673000.0,153992276600.0
,,,,,,,,,,,,
