Ngành,Cá nhân Khớp Ròng,Tổ chức trong nước Khớp Ròng,Tự doanh Khớp Ròng,Nước ngoài Khớp Ròng,Cá nhân Thỏa thuận Ròng,Tổ chức trong nước Thỏa thuận Ròng,Tự doanh Thỏa thuận Ròng,Nước ngoài Thỏa thuận Ròng,Cá nhân Tổng GT Ròng,Tổ chức trong nước Tổng GT Ròng,Tự doanh Tổng GT Ròng,Nước ngoài Tổng GT Ròng
Hóa chất L2,36456506700.0,-17276728700.0,2299080000.0,-21478858000.0,0.0,0.0,0.0,0.0,36456506700.0,-17276728700.0,2299080000.0,-21478858000.0
Hàng & Dịch vụ Công nghiệp L2,24802143399.0,-27091325000.0,7164750000.0,-4875568400.0,0.0,0.0,0.0,0.0,24802143399.0,-27091325000.0,7164750000.0,-4875568400.0
Viễn thông L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truyền thông L2,-65232101.0,66440000.0,0.0,-1207900.0,0.0,0.0,0.0,0.0,-65232101.0,66440000.0,0.0,-1207900.0
Ô tô và phụ tùng L2,-1285622300.0,-129785000.0,-323250000.0,1738657300.0,0.0,0.0,0.0,0.0,-1285622300.0,-129785000.0,-323250000.0,1738657300.0
Bảo hiểm L2,-1450811999.0,-605835000.0,411405000.0,1645242000.0,0.0,0.0,0.0,0.0,-1450811999.0,-605835000.0,411405000.0,1645242000.0
Y tế L2,-2698947000.0,-21746000.0,0.0,2720693000.0,0.0,0.0,0.0,0.0,-2698947000.0,-21746000.0,0.0,2720693000.0
Du lịch và Giải trí L2,-6138145400.0,696406000.0,4290570000.0,1151169400.0,-4115500000.0,4115500000.0,0.0,0.0,-10253645400.0,4811906000.0,4290570000.0,1151169400.0
Bán lẻ L2,-7951373900.0,-6536890000.0,8748985000.0,5739278900.0,0.0,0.0,0.0,0.0,-7951373900.0,-6536890000.0,8748985000.0,5739278900.0
Hàng cá nhân & Gia dụng L2,-8518532562.0,-6736483000.0,9609000000.0,5646015560.0,0.0,0.0,0.0,0.0,-8518532562.0,-6736483000.0,9609000000.0,5646015560.0
Công nghệ Thông tin L2,-12401176581.0,-4646017000.0,14406060000.0,2641133580.0,0.0,0.0,0.0,0.0,-12401176581.0,-4646017000.0,14406060000.0,2641133580.0
Xây dựng và Vật liệu L2,-14069229500.0,7852196000.0,-11550000.0,6228583500.0,0.0,0.0,0.0,0.0,-14069229500.0,7852196000.0,-11550000.0,6228583500.0
"Điện, nước & xăng dầu khí đốt L2",-15619203852.0,-13829905000.0,11365825000.0,18083283850.0,0.0,0.0,0.0,0.0,-15619203852.0,-13829905000.0,11365825000.0,18083283850.0
Dịch vụ tài chính L2,-20632985301.0,-63684004000.0,-51014209000.0,135331198300.0,0.0,79471300000.0,-116053000000.0,36581700000.0,-20632985300.0,15787296000.0,-167067209000.0,171912898300.0
Bất động sản L2,-41204552452.0,-26588841600.0,4215870000.0,63577524051.0,0.0,0.0,0.0,0.0,-41204552452.0,-26588841600.0,4215870000.0,63577524050.0
Dầu khí L2,-42781882099.0,6015675000.0,358595000.0,36407612100.0,0.0,0.0,0.0,0.0,-42781882099.0,6015675000.0,358595000.0,36407612100.0
Thực phẩm và đồ uống L2,-66682680901.0,-4026857000.0,18942640000.0,51766897900.0,-10659000000.0,10659000000.0,0.0,0.0,-77341680901.0,6632143000.0,18942640000.0,51766897900.0
Tài nguyên Cơ bản L2,-104782823950.0,-4508471000.0,6812785000.0,102478509950.0,0.0,0.0,0.0,0.0,-104782823950.0,-4508471000.0,6812785000.0,102478509950.0
Ngân hàng L2,-303225397298.0,244110415000.0,67425440000.0,-8310457700.0,15299700000.0,22220299500.0,-37519317000.0,-682500.0,-287925697297.0,266330714500.0,29906123000.0,-8311140200.0
,,,,,,,,,,,,
